"pattern","zero","replicate","method","metrics","value","f"
"bc_pattern",10,27,"BayesCafe","ARI",0.905926290656732,0
"bc_pattern",10,27,"BayesCafe","ARI",0.952384786481345,0.5
"bc_pattern",10,27,"BayesCafe","ARI",0.952384786481345,1
"bc_pattern",10,27,"BayesCafe","ARI",0.952384786481345,1.5
"bc_pattern",10,27,"BayesCafe","ARI",0.952384786481345,2
"bc_pattern",10,28,"BayesCafe","ARI",0.983999746064582,0
"bc_pattern",10,28,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",10,28,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,28,"BayesCafe","ARI",1,1.5
"bc_pattern",10,28,"BayesCafe","ARI",1,2
"bc_pattern",10,29,"BayesCafe","ARI",1,0
"bc_pattern",10,29,"BayesCafe","ARI",1,0.5
"bc_pattern",10,29,"BayesCafe","ARI",1,1
"bc_pattern",10,29,"BayesCafe","ARI",1,1.5
"bc_pattern",10,29,"BayesCafe","ARI",1,2
"bc_pattern",10,30,"BayesCafe","ARI",0.983999746064582,0
"bc_pattern",10,30,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",10,30,"BayesCafe","ARI",1,1
"bc_pattern",10,30,"BayesCafe","ARI",0.983999746064582,1.5
"bc_pattern",10,30,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,1,"BayesCafe","ARI",0.890697060465275,0
"bc_pattern",30,1,"BayesCafe","ARI",0.905926193548387,0.5
"bc_pattern",30,1,"BayesCafe","ARI",0.952384786481345,1
"bc_pattern",30,1,"BayesCafe","ARI",0.875597542835731,1.5
"bc_pattern",30,1,"BayesCafe","ARI",0.860626020470967,2
"bc_pattern",30,2,"BayesCafe","ARI",0.921284053791875,0
"bc_pattern",30,2,"BayesCafe","ARI",0.952384786481345,0.5
"bc_pattern",30,2,"BayesCafe","ARI",0.921284378810459,1
"bc_pattern",30,2,"BayesCafe","ARI",0.921284378810459,1.5
"bc_pattern",30,2,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,3,"BayesCafe","ARI",0.860624581775165,0
"bc_pattern",30,3,"BayesCafe","ARI",0.875597542835731,0.5
"bc_pattern",30,3,"BayesCafe","ARI",0.936770129785672,1
"bc_pattern",30,3,"BayesCafe","ARI",0.921284053791875,1.5
"bc_pattern",30,3,"BayesCafe","ARI",0.952384884783493,2
"bc_pattern",30,4,"BayesCafe","ARI",0.968128,0
"bc_pattern",30,4,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",30,4,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",30,4,"BayesCafe","ARI",0.983999746064582,1.5
"bc_pattern",30,4,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,5,"BayesCafe","ARI",0.905926581980565,0
"bc_pattern",30,5,"BayesCafe","ARI",0.905926290656732,0.5
"bc_pattern",30,5,"BayesCafe","ARI",0.921283891281576,1
"bc_pattern",30,5,"BayesCafe","ARI",0.952384884783493,1.5
"bc_pattern",30,5,"BayesCafe","ARI",0,2
"bc_pattern",30,6,"BayesCafe","ARI",0.952384884783493,0
"bc_pattern",30,6,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",30,6,"BayesCafe","ARI",1,1
"bc_pattern",30,6,"BayesCafe","ARI",1,1.5
"bc_pattern",30,6,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,7,"BayesCafe","ARI",0.921284053791875,0
"bc_pattern",30,7,"BayesCafe","ARI",0.936770325593494,0.5
"bc_pattern",30,7,"BayesCafe","ARI",0.936770325593494,1
"bc_pattern",30,7,"BayesCafe","ARI",0.936770325593494,1.5
"bc_pattern",30,7,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,8,"BayesCafe","ARI",0.921284378810459,0
"bc_pattern",30,8,"BayesCafe","ARI",0.952384884783493,0.5
"bc_pattern",30,8,"BayesCafe","ARI",0.952384884783493,1
"bc_pattern",30,8,"BayesCafe","ARI",0.952384884783493,1.5
"bc_pattern",30,8,"BayesCafe","ARI",0.921284378810459,2
"bc_pattern",30,9,"BayesCafe","ARI",0.428063911535213,0
"bc_pattern",30,9,"BayesCafe","ARI",0.968128032900095,0.5
"bc_pattern",30,9,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",30,9,"BayesCafe","ARI",0.952384786481345,1.5
"bc_pattern",30,9,"BayesCafe","ARI",0.968128032900095,2
"bc_pattern",30,10,"BayesCafe","ARI",0.745473872135775,0
"bc_pattern",30,10,"BayesCafe","ARI",0.952384884783493,0.5
"bc_pattern",30,10,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",30,10,"BayesCafe","ARI",0.905926581980565,1.5
"bc_pattern",30,10,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,11,"BayesCafe","ARI",0.905926290656732,0
"bc_pattern",30,11,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",30,11,"BayesCafe","ARI",0.952384786481345,1
"bc_pattern",30,11,"BayesCafe","ARI",0.968128,1.5
"bc_pattern",30,11,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",30,12,"BayesCafe","ARI",0.952384786481345,0
"bc_pattern",30,12,"BayesCafe","ARI",0.936770064516129,0.5
"bc_pattern",30,12,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",30,12,"BayesCafe","ARI",1,1.5
"bc_pattern",30,12,"BayesCafe","ARI",1,2
"bc_pattern",30,13,"BayesCafe","ARI",0.875596515513274,0
"bc_pattern",30,13,"BayesCafe","ARI",0.936770129785672,0.5
"bc_pattern",30,13,"BayesCafe","ARI",0.905926290656732,1
