"data","model","mse"
"mouse_olfactory_bulb","ZINB",6.81218525179856
"mouse_olfactory_bulb","ZINB",6.83980215827338
"mouse_olfactory_bulb","ZINB",6.98097302158273
"mouse_olfactory_bulb","ZINB",6.90565287769784
"mouse_olfactory_bulb","ZINB",7.05557374100719
"mouse_olfactory_bulb","ZINB",6.92797661870504
"mouse_olfactory_bulb","ZINB",7.05228776978417
"mouse_olfactory_bulb","ZINB",7.04521402877698
"mouse_olfactory_bulb","ZINB",6.92512769784173
"mouse_olfactory_bulb","ZINB",6.97320683453237
"mouse_olfactory_bulb","ZINB",6.99824820143885
"mouse_olfactory_bulb","ZINB",7.03501978417266
"mouse_olfactory_bulb","ZINB",7.04115287769784
"mouse_olfactory_bulb","ZINB",6.85826798561151
"mouse_olfactory_bulb","ZINB",6.92309892086331
"mouse_olfactory_bulb","ZINB",7.02750179856115
"mouse_olfactory_bulb","ZINB",7.0211690647482
"mouse_olfactory_bulb","ZINB",6.94359172661871
"mouse_olfactory_bulb","ZINB",6.98552338129496
"mouse_olfactory_bulb","ZINB",6.87753237410072
"mouse_olfactory_bulb","ZINB",6.94923381294964
"mouse_olfactory_bulb","ZINB",7.20496402877698
"mouse_olfactory_bulb","ZINB",7.02789028776978
"mouse_olfactory_bulb","ZINB",7.03486330935252
"mouse_olfactory_bulb","ZINB",7.09264928057554
"mouse_olfactory_bulb","ZINB",6.89047122302158
"mouse_olfactory_bulb","ZINB",6.89373741007194
"mouse_olfactory_bulb","ZINB",6.94620683453237
"mouse_olfactory_bulb","ZINB",6.9696726618705
"mouse_olfactory_bulb","ZINB",7.00494064748201
"mouse_olfactory_bulb","ZINB",6.96387769784173
"mouse_olfactory_bulb","ZINB",6.86693884892086
"mouse_olfactory_bulb","ZINB",6.96445503597122
"mouse_olfactory_bulb","ZINB",6.90137769784173
"mouse_olfactory_bulb","ZINB",7.02130935251799
"mouse_olfactory_bulb","ZINB",6.88702697841727
"mouse_olfactory_bulb","ZINB",6.96871402877698
"mouse_olfactory_bulb","ZINB",6.83803597122302
"mouse_olfactory_bulb","ZINB",6.96481654676259
"mouse_olfactory_bulb","ZINB",6.92739928057554
"mouse_olfactory_bulb","ZINB",7.02489388489209
"mouse_olfactory_bulb","ZINB",7.09710251798561
"mouse_olfactory_bulb","ZINB",7.14810071942446
"mouse_olfactory_bulb","ZINB",6.9029118705036
"mouse_olfactory_bulb","ZINB",6.92798741007194
"mouse_olfactory_bulb","ZINB",6.94898561151079
"mouse_olfactory_bulb","ZINB",6.92318525179856
"mouse_olfactory_bulb","ZINB",6.81278776978417
"mouse_olfactory_bulb","ZINB",6.75701798561151
"mouse_olfactory_bulb","ZINB",6.89513309352518
"mouse_olfactory_bulb","ZINB",7.11364568345324
"mouse_olfactory_bulb","ZINB",6.99573381294964
"mouse_olfactory_bulb","ZINB",6.92035251798561
"mouse_olfactory_bulb","ZINB",7.00914028776978
"mouse_olfactory_bulb","ZINB",6.96448741007194
"mouse_olfactory_bulb","ZINB",6.99758633093525
"mouse_olfactory_bulb","ZINB",6.98977517985611
"mouse_olfactory_bulb","ZINB",6.9415809352518
"mouse_olfactory_bulb","ZINB",6.97666366906475
"mouse_olfactory_bulb","ZINB",7.07071762589928
"mouse_olfactory_bulb","ZINB",6.89106654676259
"mouse_olfactory_bulb","ZINB",7.06978776978417
"mouse_olfactory_bulb","ZINB",7.05182194244604
"mouse_olfactory_bulb","ZINB",7.09803776978417
"mouse_olfactory_bulb","ZINB",7.01925179856115
"mouse_olfactory_bulb","ZINB",7.00657194244604
"mouse_olfactory_bulb","ZINB",7.01688489208633
"mouse_olfactory_bulb","ZINB",7.09628956834532
"mouse_olfactory_bulb","ZINB",7.03536151079137
"mouse_olfactory_bulb","ZINB",7.06085971223022
"mouse_olfactory_bulb","ZINB",6.92649820143885
"mouse_olfactory_bulb","ZINB",6.89143525179856
"mouse_olfactory_bulb","ZINB",6.99681834532374
"mouse_olfactory_bulb","ZINB",7.02205575539568
"mouse_olfactory_bulb","ZINB",7.28668525179856
"mouse_olfactory_bulb","ZINB",7.2421654676259
"mouse_olfactory_bulb","ZINB",7.34249100719425
"mouse_olfactory_bulb","ZINB",7.28598201438849
"mouse_olfactory_bulb","ZINB",7.15888309352518
"mouse_olfactory_bulb","ZINB",7.16883633093525
"mouse_olfactory_bulb","ZINB",7.16002517985611
"mouse_olfactory_bulb","ZINB",6.96455395683453
"mouse_olfactory_bulb","ZINB",7.09068705035971
"mouse_olfactory_bulb","ZINB",6.92955935251799
"mouse_olfactory_bulb","ZINB",6.94369784172662
"mouse_olfactory_bulb","ZINB",7.00246582733813
"mouse_olfactory_bulb","ZINB",6.86532913669065
"mouse_olfactory_bulb","ZINB",6.87081474820144
"mouse_olfactory_bulb","ZINB",6.96395323741007
"mouse_olfactory_bulb","ZINB",6.93414028776978
"mouse_olfactory_bulb","ZINB",6.82267086330935
"mouse_olfactory_bulb","ZINB",6.81225179856115
"mouse_olfactory_bulb","ZINB",6.94744244604317
"mouse_olfactory_bulb","ZINB",7.01780755395683
"mouse_olfactory_bulb","ZINB",6.89047302158273
"mouse_olfactory_bulb","ZINB",7.00057913669065
"mouse_olfactory_bulb","ZINB",6.94503956834532
"mouse_olfactory_bulb","ZINB",6.91742446043165
"mouse_olfactory_bulb","ZINB",6.89164748201439
"mouse_olfactory_bulb","ZINB",6.95162589928058
"mouse_olfactory_bulb","ZINB",7.05846223021583
"mouse_olfactory_bulb","ZINB",7.02990647482014
"mouse_olfactory_bulb","ZINB",7.02581115107914
"mouse_olfactory_bulb","ZINB",7.05100899280576
"mouse_olfactory_bulb","ZINB",6.97248741007194
"mouse_olfactory_bulb","ZINB",7.0349190647482
"mouse_olfactory_bulb","ZINB",6.94049460431655
"mouse_olfactory_bulb","ZINB",6.91887949640288
"mouse_olfactory_bulb","ZINB",6.96393884892086
"mouse_olfactory_bulb","ZINB",6.83781294964029
"mouse_olfactory_bulb","ZINB",7.03701978417266
"mouse_olfactory_bulb","ZINB",6.93245323741007
"mouse_olfactory_bulb","ZINB",6.9638381294964
"mouse_olfactory_bulb","ZINB",7.04571402877698
"mouse_olfactory_bulb","ZINB",6.84708992805755
"mouse_olfactory_bulb","ZINB",7.09295323741007
"mouse_olfactory_bulb","ZINB",6.81873021582734
"mouse_olfactory_bulb","ZINB",6.96685071942446
"mouse_olfactory_bulb","ZINB",6.87634172661871
"mouse_olfactory_bulb","ZINB",6.86042985611511
"mouse_olfactory_bulb","ZINB",6.91497302158273
"mouse_olfactory_bulb","ZINB",7.03985611510791
"mouse_olfactory_bulb","ZINB",7.05886330935252
"mouse_olfactory_bulb","ZINB",6.97664928057554
"mouse_olfactory_bulb","ZINB",7.01030395683453
"mouse_olfactory_bulb","ZINB",7.00451438848921
"mouse_olfactory_bulb","ZINB",6.92505035971223
"mouse_olfactory_bulb","ZINB",6.87100539568345
"mouse_olfactory_bulb","ZINB",6.99179856115108
"mouse_olfactory_bulb","ZINB",6.93502877697842
"mouse_olfactory_bulb","ZINB",6.97751079136691
"mouse_olfactory_bulb","ZINB",6.95656654676259
"mouse_olfactory_bulb","ZINB",6.90723021582734
"mouse_olfactory_bulb","ZINB",6.99544604316547
"mouse_olfactory_bulb","ZINB",6.8544190647482
"mouse_olfactory_bulb","ZINB",6.95360791366906
"mouse_olfactory_bulb","ZINB",7.02679316546763
"mouse_olfactory_bulb","ZINB",7.06132553956835
"mouse_olfactory_bulb","ZINB",7.02160611510791
"mouse_olfactory_bulb","ZINB",7.06060611510791
"mouse_olfactory_bulb","ZINB",7.01616366906475
"mouse_olfactory_bulb","ZINB",6.98811870503597
"mouse_olfactory_bulb","ZINB",6.83818884892086
"mouse_olfactory_bulb","ZINB",7.10562410071942
"mouse_olfactory_bulb","ZINB",6.97295323741007
"mouse_olfactory_bulb","ZINB",6.93103956834532
"mouse_olfactory_bulb","ZINB",6.94278597122302
"mouse_olfactory_bulb","ZINB",6.88516726618705
"mouse_olfactory_bulb","ZINB",7.00876079136691
"mouse_olfactory_bulb","ZINB",7.02907553956835
"mouse_olfactory_bulb","ZINB",7.01278956834532
"mouse_olfactory_bulb","ZINB",6.91478237410072
"mouse_olfactory_bulb","ZINB",7.05802697841727
"mouse_olfactory_bulb","ZINB",7.07306834532374
"mouse_olfactory_bulb","ZINB",6.97221762589928
"mouse_olfactory_bulb","ZINB",6.9388273381295
"mouse_olfactory_bulb","ZINB",6.92331474820144
"mouse_olfactory_bulb","ZINB",6.7516654676259
"mouse_olfactory_bulb","ZINB",6.99517086330935
"mouse_olfactory_bulb","ZINB",7.00034172661871
"mouse_olfactory_bulb","ZINB",7.04205215827338
"mouse_olfactory_bulb","ZINB",6.89142805755396
"mouse_olfactory_bulb","ZINB",7.03478057553957
"mouse_olfactory_bulb","ZINB",6.90314928057554
"mouse_olfactory_bulb","ZINB",7.14788848920863
"mouse_olfactory_bulb","ZINB",7.18551618705036
"mouse_olfactory_bulb","ZINB",7.15601978417266
"mouse_olfactory_bulb","ZINB",6.9956582733813
"mouse_olfactory_bulb","ZINB",6.89335071942446
"mouse_olfactory_bulb","ZINB",6.85187769784173
"mouse_olfactory_bulb","ZINB",7.03253057553957
"mouse_olfactory_bulb","ZINB",7.05456115107914
"mouse_olfactory_bulb","ZINB",7.01889928057554
"mouse_olfactory_bulb","ZINB",7.09543345323741
"mouse_olfactory_bulb","ZINB",6.9628417266187
"mouse_olfactory_bulb","ZINB",6.9786726618705
"mouse_olfactory_bulb","ZINB",6.82152158273381
"mouse_olfactory_bulb","ZINB",6.86837230215827
"mouse_olfactory_bulb","ZINB",7.05089748201439
"mouse_olfactory_bulb","ZINB",6.95545503597122
"mouse_olfactory_bulb","ZINB",6.96789028776978
"mouse_olfactory_bulb","ZINB",6.9479154676259
"mouse_olfactory_bulb","ZINB",7.02939928057554
"mouse_olfactory_bulb","ZINB",7.00402517985612
"mouse_olfactory_bulb","ZINB",6.90023920863309
"mouse_olfactory_bulb","ZINB",6.86451978417266
"mouse_olfactory_bulb","ZINB",6.95070863309353
"mouse_olfactory_bulb","ZINB",6.95886690647482
"mouse_olfactory_bulb","ZINB",6.85182553956835
"mouse_olfactory_bulb","ZINB",7.05527338129496
"mouse_olfactory_bulb","ZINB",6.95280935251799
"mouse_olfactory_bulb","ZINB",6.8688345323741
"mouse_olfactory_bulb","ZINB",6.86438848920863
"mouse_olfactory_bulb","ZINB",6.92442805755396
"mouse_olfactory_bulb","ZINB",6.88615827338129
"mouse_olfactory_bulb","ZINB",6.98271762589928
"mouse_olfactory_bulb","ZINB",6.84448561151079
"mouse_olfactory_bulb","ZINB",6.9266726618705
"mouse_olfactory_bulb","ZINB",6.86016726618705
"mouse_olfactory_bulb","ZINB",6.96829676258993
"mouse_olfactory_bulb","ZINB",6.87586151079137
"mouse_olfactory_bulb","ZINB",6.99953057553957
"mouse_olfactory_bulb","ZINB",7.06065467625899
